sequence,frame_range,file_path,final_event_type,confidence,window_count,total_weight,sequence_event_type,EMPTY_D_TH,V_OK,score_sum,sequence_event_feats,"weights(a,b,c)"
05,001100_001400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001100_001400\05_f1100_1400\final_event_scorevote.txt,Normal,0.956,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 802.9649877883494, 'Congestion': 37.03501221165061}","{'density_mean': 0.452873557806015, 'speed_mean': 7.613650798797607, 'occupancy_mean': 0.005338526330888271, 'ego_motion': 0.14897263050079346, 'static_dwell_norm': 0.6791516542434692, 'static_change_focus': 0.14897263050079346, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.5494252443313599, 'speed_reliable_ratio': 0.9586206896551724, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001200_001500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001200_001500\05_f1200_1500\final_event_scorevote.txt,Normal,0.876,28.0,840.0,Normal,0.03,6.0,"{'Empty': 79.1666785441339, 'Normal': 737.5601327810436, 'Congestion': 24.78568849666044}","{'density_mean': 0.4452926218509674, 'speed_mean': 8.566551208496094, 'occupancy_mean': 0.005410294514149427, 'ego_motion': 0.10983125865459442, 'static_dwell_norm': 0.7383116483688354, 'static_change_focus': 0.10983125865459442, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.5750635862350464, 'speed_reliable_ratio': 0.9567430025445293, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001300_001600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001300_001600\05_f1300_1600\final_event_scorevote.txt,Normal,0.781,28.0,840.0,Normal,0.03,6.0,"{'Empty': 135.83334242925048, 'Normal': 677.1614175569266, 'Congestion': 54.43581347493455}","{'density_mean': 0.4689922630786896, 'speed_mean': 7.857307434082031, 'occupancy_mean': 0.006142315920442343, 'ego_motion': 0.1148025169968605, 'static_dwell_norm': 0.82657790184021, 'static_change_focus': 0.1148025169968605, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.7829457521438599, 'speed_reliable_ratio': 0.9457364341085271, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001400_001700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001400_001700\05_f1400_1700\final_event_scorevote.txt,Normal,0.582,28.0,840.0,Normal,0.03,6.0,"{'Empty': 317.50000366941094, 'Normal': 505.56975514627993, 'Congestion': 46.13581329630688}","{'density_mean': 0.4018518626689911, 'speed_mean': 7.44911527633667, 'occupancy_mean': 0.0047988188453018665, 'ego_motion': 0.08751588314771652, 'static_dwell_norm': 0.8813088536262512, 'static_change_focus': 0.08751588314771652, 'occlusion_score': 2.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.3777778148651123, 'speed_reliable_ratio': 0.9388888888888889, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 1.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001500_001800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001500_001800\05_f1500_1800\final_event_scorevote.txt,Normal,0.685,28.0,840.0,Unknown,0.03,6.0,"{'Empty': 217.49999355524776, 'Normal': 592.129638442304, 'Congestion': 54.72827104618773}","{'density_mean': 0.3549783229827881, 'speed_mean': 5.948782920837402, 'occupancy_mean': 0.004228329751640558, 'ego_motion': 0.0707392692565918, 'static_dwell_norm': 0.8733177185058594, 'static_change_focus': 0.0707392692565918, 'occlusion_score': 2.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.2129870653152466, 'speed_reliable_ratio': 0.9506493506493506, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 1.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001600_001900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001600_001900\05_f1600_1900\final_event_scorevote.txt,Normal,0.757,28.0,840.0,Normal,0.03,6.0,"{'Empty': 155.8333269879222, 'Normal': 636.4748484217562, 'Congestion': 48.9543246855028}","{'density_mean': 0.38316500186920166, 'speed_mean': 6.171070575714111, 'occupancy_mean': 0.004684720654040575, 'ego_motion': 0.08366847783327103, 'static_dwell_norm': 0.8403523564338684, 'static_change_focus': 0.08366847783327103, 'occlusion_score': 2.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.3414140939712524, 'speed_reliable_ratio': 0.9515151515151515, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 1.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001700_002000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001700_002000\05_f1700_2000\final_event_scorevote.txt,Normal,0.92,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 773.0331750162877, 'Congestion': 66.96682498371229}","{'density_mean': 0.4727272391319275, 'speed_mean': 8.63503646850586, 'occupancy_mean': 0.006277055945247412, 'ego_motion': 0.1204586923122406, 'static_dwell_norm': 0.849112331867218, 'static_change_focus': 0.1204586923122406, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.8075757026672363, 'speed_reliable_ratio': 0.956060606060606, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001800_002100,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001800_002100\05_f1800_2100\final_event_scorevote.txt,Normal,0.912,28.0,840.0,Normal,0.03,6.0,"{'Empty': 17.50000141561031, 'Normal': 767.1354819824919, 'Congestion': 56.10201658587903}","{'density_mean': 0.4588370621204376, 'speed_mean': 8.887190818786621, 'occupancy_mean': 0.006030559539794922, 'ego_motion': 0.12067998200654984, 'static_dwell_norm': 0.8861221671104431, 'static_change_focus': 0.12067998200654984, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.7392054796218872, 'speed_reliable_ratio': 0.9550949913644214, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001900_002200,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001900_002200\05_f1900_2200\final_event_scorevote.txt,Normal,0.766,28.0,840.0,Normal,0.03,6.0,"{'Empty': 164.1666686721146, 'Normal': 644.7916644774377, 'Congestion': 32.27916682558134}","{'density_mean': 0.47069597244262695, 'speed_mean': 10.18181037902832, 'occupancy_mean': 0.005762232933193445, 'ego_motion': 0.12259787321090698, 'static_dwell_norm': 0.8793184161186218, 'static_change_focus': 0.12259787321090698, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.6648352146148682, 'speed_reliable_ratio': 0.9542124542124543, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,002000_002300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\002000_002300\05_f2000_2300\final_event_scorevote.txt,Normal,0.77,28.0,840.0,Normal,0.03,6.0,"{'Empty': 170.83333337679505, 'Normal': 649.6238835342228, 'Congestion': 23.149746155831963}","{'density_mean': 0.4096750319004059, 'speed_mean': 9.649847030639648, 'occupancy_mean': 0.00440707802772522, 'ego_motion': 0.09284953773021698, 'static_dwell_norm': 0.815654456615448, 'static_change_focus': 0.09284953773021698, 'occlusion_score': 2.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.272108793258667, 'speed_reliable_ratio': 0.9569160997732427, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 1.0, 'empty_like': 0.0}","0.5,0.3,0.2"
